,epoch,loss,acc,prec,rec,f1,test_loss
0,0,0.7575058908689589,0.5240948757091755,0.0,0.0,0.0,0.7559756620979865
1,1,0.7540747718442053,0.5240948757091755,0.0,0.0,0.0,0.7523177344319424
2,2,0.7502096930430049,0.5240948757091755,0.0,0.0,0.0,0.7483775858976403
3,3,0.7459713476044791,0.5240948757091755,0.0,0.0,0.0,0.7438100920474217
4,4,0.7410316048633485,0.5240948757091755,0.0,0.0,0.0,0.7385785961985241
5,5,0.7356539088345709,0.5240948757091755,0.0,0.0,0.0,0.7332872218362791
6,6,0.7310738648687091,0.5240948757091755,0.0,0.0,0.0,0.72923848232792
7,7,0.7277309777481216,0.5240948757091755,0.0,0.0,0.0,0.726657700608145
8,8,0.7256874268253645,0.5240948757091755,0.0,0.0,0.0,0.7248817644035851
9,9,0.7240384760357085,0.5240948757091755,0.0,0.0,0.0,0.7233647827504328
10,10,0.722401560772033,0.5240948757091755,0.0,0.0,0.0,0.7215185137601358
11,11,0.7200057066622234,0.5240948757091755,0.0,0.0,0.0,0.7181204303708091
12,12,0.7134318238212949,0.5240948757091755,0.0,0.0,0.0,0.7080367285725674
13,13,0.7058205874193282,0.5240948757091755,0.0,0.0,0.0,0.7083573855742074
14,14,0.7043453834596134,0.5240948757091755,0.0,0.0,0.0,0.7028779677677433
15,15,0.7036178605187506,0.5240948757091755,0.0,0.0,0.0,0.7027763166511024
16,16,0.7011047346251351,0.5240948757091755,0.0,0.0,0.0,0.7006287866709183
17,17,0.7018515783406439,0.5240948757091755,0.0,0.0,0.0,0.7055608899530794
18,18,0.7028610841149375,0.5240948757091755,0.0,0.0,0.0,0.7009362757379738
19,19,0.7011210751675424,0.5240948757091755,0.0,0.0,0.0,0.7010496267424381
20,20,0.7008883757960229,0.5240948757091755,0.0,0.0,0.0,0.7006928468932215
21,21,0.7000920992522013,0.5240948757091755,0.0,0.0,0.0,0.6996241088511297
